Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
1147763248423867,2019-11-02,2019-11-09,2019-11-09,segundo examen parcial,Spanish 417,,,,2019-11-10,,,UMass,
1147763248423865,2019-11-02,2019-11-03,2019-11-03,documentaries,Spanish 417,,,,2019-11-04,,,UMass,
1147754023341817,2019-11-02,2019-11-04,2019-11-04,exam,StockSch 100,,,,2019-11-05,,,UMass,
1147621767667755,2019-11-01,2019-11-06,2019-11-06,talk to registrar about dual degree,IPO,,,,2019-11-06,,,UMass,
1147621767667753,2019-11-01,2019-11-14,2019-11-14,milestone 4,CS 325,,,,2019-11-14,,,UMass,
1147463450794553,2019-10-31,2019-11-20,2019-11-20,milestone 2,CS 585,,,,2019-11-21,,,UMass,
1147300501449473,2019-10-30,2019-11-02,2019-11-02,re-read 10/28,Spanish 417,,,,2019-11-02,,,UMass,
1147300501449469,2019-10-30,2019-11-01,2019-11-01,lesson 15,StockSch 100,,,,2019-10-31,,,UMass,
1147300501449467,2019-10-30,2019-10-30,2019-10-30,lesson 14,StockSch 100,,,,2019-10-29,,,UMass,
1147300501449465,2019-10-30,2019-10-31,2019-10-31,note sheet,CS 585,,,,2019-10-30,,,UMass,
884979507466258,2019-10-29,2019-10-31,2019-10-31,Rosa reading,Spanish 382,,,,2019-10-31,,,UMass,
1147113706243297,2019-10-29,2019-11-06,2019-11-06,Post-Decision Materials and Signature Documents,IPO,,,,,,,UMass,
884979507466257,2019-10-29,2019-10-30,2019-10-30,Email Jeanne about data,CS 325,,,,2019-10-29,,,UMass,
1146948772669835,2019-10-28,2019-10-30,2019-10-30,movie,Spanish 417,,,,2019-10-30,,,UMass,
1146948772669833,2019-10-28,2019-10-31,2019-10-31,4 discussion posts,StockSch 100,,,,2019-11-01,,,UMass,
1146896868722650,2019-10-28,2019-11-01,2019-11-01,online history course,IPO,,,,2019-11-01,,,UMass,
1146753949938621,2019-10-27,2019-10-31,2019-10-31,midterm,CS 585,,,,2019-10-31,,,UMass,
1146753949938619,2019-10-27,2019-10-28,2019-10-28,reading questions,Spanish 382,,,,2019-10-29,,,UMass,
1146753949938617,2019-10-27,2019-10-30,2019-10-30,reading 1,Spanish 417,,,,2019-10-28,,,UMass,
1142545671153065,2019-10-25,2019-10-27,2019-10-27,News reply,Spanish 417,,,,2019-10-27,,,UMass,
1142545671153064,2019-10-25,2019-10-27,2019-10-27,News post,Spanish 417,,,,2019-10-27,,,UMass,
884979507466255,2019-10-25,2019-10-28,2019-10-28,Call USAC office to confirm address,IPO,,,,2019-10-28,,,UMass,
1146449217030195,2019-10-24,2019-10-24,2019-10-24,finish task analyses,CS 325,,,,,,,UMass,
1146449217030193,2019-10-24,2019-10-25,2019-10-25,follow up with rec center,CS 325,,,,2019-10-25,,,UMass,
1146285211436418,2019-10-23,2019-10-27,2019-10-27,winter course for HS,IPO,,,,,,,UMass,
1142545671153063,2019-10-22,2019-10-23,2019-10-23,Reading questions,Spanish 382,,,,2019-10-24,,,UMass,
884979507466254,2019-10-21,2019-10-22,2019-10-22,5.2 & 5.5,Spanish 382,,,,2019-10-22,,,UMass,
1145775778234541,2019-10-21,2019-10-24,2019-10-24,milestone 1,CS 585,,,,2019-10-24,,,UMass,
1145775778234539,2019-10-21,2019-10-27,2019-10-27,journal,StockSch 100,,,,2019-11-07,,,UMass,
1145775778234537,2019-10-21,2019-10-22,2019-10-22,5 discussion posts,StockSch 100,,,,2019-10-25,,,UMass,
1145691280928681,2019-10-19,2019-11-16,2019-11-16,VISA,IPO,,,,,,,UMass,
1145690158672859,2019-10-19,2019-10-20,2019-10-20,news reply,Spanish 417,,,,2019-10-20,,,UMass,
1145690158672857,2019-10-19,2019-10-20,2019-10-20,news post,Spanish 417,,,,2019-10-20,,,UMass,
1145620006664625,2019-10-18,2019-10-28,2019-10-28,midterm,Spanish 382,,,,2019-10-29,,,UMass,
1145204846339525,2019-10-16,2019-10-19,2019-10-19,review midterm details,Spanish 382,,,,2019-10-18,,,UMass,
1145204846339523,2019-10-16,2019-10-30,2019-10-30,lesson 13,StockSch 100,,,,2019-10-24,,,UMass,
1145204846339521,2019-10-16,2019-10-27,2019-10-27,lesson 12,StockSch 100,,,,2019-10-22,,,UMass,
1145204846339519,2019-10-16,2019-10-31,2019-10-31,milestone 3,CS 325,,,,2019-10-31,,,UMass,
1145204846339517,2019-10-16,2019-10-23,2019-10-23,the mission movie,Spanish 417,,,,2019-10-23,,,UMass,
1145204846339515,2019-10-16,2019-10-20,2019-10-20,reading 1,Spanish 417,,,,2019-10-21,,,UMass,
1145204846339513,2019-10-16,2019-10-20,2019-10-20,deeper dive in code search,CS 585,,,,2019-10-20,,,UMass,
884979507466253,2019-10-16,2019-10-16,2019-10-16,Reading questions,Spanish 382,,,,2019-10-17,,,UMass,
884979507466252,2019-10-16,2019-10-21,2019-10-21,Lecture notes,CS 325,,,,2019-10-17,,,UMass,
1144678056958035,2019-10-14,2019-10-16,2019-10-16,reading 2,Spanish 417,,,,2019-10-16,,,UMass,
1144678056958033,2019-10-14,2019-10-15,2019-10-15,reading 1,Spanish 417,,,,2019-10-15,,,UMass,
1144563604935839,2019-10-13,2019-10-16,2019-10-16,lesson 11,StockSch 100,,,,2019-10-17,,,UMass,
1144563604935837,2019-10-13,2019-10-15,2019-10-15,3 discussion posts,StockSch 100,,,,2019-10-18,,,UMass,
1144563604935835,2019-10-13,2019-10-13,2019-10-13,news reply,Spanish 417,,,,2019-10-14,,,UMass,
1144563604935833,2019-10-13,2019-10-13,2019-10-13,news post,Spanish 417,,,,2019-10-14,,,UMass,
1144319545069725,2019-10-11,2019-10-13,2019-10-13,Oct 10 lecture notes,CS 585,,,,2019-10-13,,,UMass,
1144319545069723,2019-10-11,2019-10-16,2019-10-16,JM 8.1-8.4,CS 585,,,,2019-10-17,,,UMass,
1144319545069721,2019-10-11,2019-10-11,2019-10-11,"4.11, 4.14, 4.15, 4.16",Spanish 382,,,,2019-10-10,,,UMass,
1143842287736963,2019-10-08,2019-10-11,2019-10-11,ICAF for Gen Eds,IPO,,,,2019-10-09,,,UMass,
1143842287736961,2019-10-08,2019-10-11,2019-10-11,ICAF for Spanish,IPO,,,,2019-10-09,,,UMass,
1142545671153062,2019-10-08,2019-10-10,2019-10-10,ONLINE EXAM,StockSch 100,,,,2019-10-09,,,UMass,
1143619547131097,2019-10-07,2019-10-08,2019-10-08,online exam schedule,StockSch 100,,,,2019-10-08,,,UMass,
1143604271692291,2019-10-07,2019-10-08,2019-10-08,print all the forms!,IPO,,,,2019-10-08,,,UMass,
1143604271692289,2019-10-07,2019-11-06,2019-11-06,absentia form once courses approved,IPO,,,,2019-11-06,,,UMass,
1142545671153061,2019-10-07,2019-10-11,2019-10-11,Fill out empty ICAF and send to CS and Math with explanation,IPO,,,,2019-10-09,,,UMass,
1142545671153060,2019-10-07,2019-10-07,2019-10-07,Health questionnaire,IPO,,,,2019-10-07,,,UMass,
1142545671153059,2019-10-07,2019-10-07,2019-10-07,senior year in absentia registrar,IPO,,,,2019-10-07,,,UMass,
1142545671153057,2019-10-07,2019-10-07,2019-10-07,Schedule Advising apt with Spanish,IPO,,,,2019-10-07,,,UMass,
1142545671153055,2019-10-07,2019-10-08,2019-10-08,Find potential classes,IPO,,,,,,,UMass,
1143521929870761,2019-10-07,2019-10-08,2019-10-08,3 discussion posts,StockSch 100,,,,2019-10-11,,,UMass,
1143351972250405,2019-10-06,2019-10-07,2019-10-07,reading questions,Spanish 382,,,,2019-10-08,,,UMass,
1143351972250403,2019-10-06,2019-10-06,2019-10-06,news reply,Spanish 417,,,,2019-10-06,,,UMass,
1143351972250401,2019-10-06,2019-10-06,2019-10-06,news post,Spanish 417,,,,2019-10-06,,,UMass,
1143349063877113,2019-10-06,2019-10-08,2019-10-08,lecture 10,CS 325,,,,2019-10-08,,,UMass,
1143324177610073,2019-10-05,2019-10-16,2019-10-16,milestone 2,CS 325,,,,2019-10-15,,,UMass,
1143275969404869,2019-10-04,2019-10-09,2019-10-09,reading 3,Spanish 417,,,,2019-10-09,,,UMass,
1143275969404867,2019-10-04,2019-10-09,2019-10-09,reading 2,Spanish 417,,,,2019-10-09,,,UMass,
1143275969404865,2019-10-04,2019-10-07,2019-10-07,reading 1,Spanish 417,,,,2019-10-07,,,UMass,
1142873862321097,2019-10-02,2019-10-03,2019-10-03,"4.1, 4.2, 4.3, 4.7",Spanish 382,,,,2019-10-03,,,UMass,
1142545671153054,2019-10-02,2019-10-12,2019-10-12,First exam essay,Spanish 417,,,,2019-10-12,,,UMass,
1142824224251017,2019-10-02,2019-10-02,2019-10-02,two papers,CS 585,,,,2019-10-03,,,UMass,
1142679313380209,2019-10-01,2019-10-06,2019-10-06,locate San Sebastian partner application,IPO,,,,,,,UMass,
1142679313380207,2019-10-01,2019-10-06,2019-10-06,start San Sebastian partner application,IPO,,,,,,,UMass,
1142679313380205,2019-10-01,2019-10-07,2019-10-07,lecture 9,CS 325,,,,2019-10-03,,,UMass,
1142679313380203,2019-10-01,2019-10-02,2019-10-02,lecture notes,CS 325,,,,2019-10-01,,,UMass,
1142679313380201,2019-10-01,2019-10-03,2019-10-03,lesson 9,StockSch 100,,,,2019-10-03,,,UMass,
1142545671153053,2019-10-01,2019-10-18,2019-10-18,HW 2,CS 585,,,,2019-10-18,,,UMass,
1142160442908493,2019-09-29,2019-10-01,2019-10-01,lesson 8,StockSch 100,,,,2019-10-03,,,UMass,
1142160442908491,2019-09-29,2019-09-30,2019-09-30,news reply,Spanish 417,,,,2019-09-29,,,UMass,
1142160442908489,2019-09-29,2019-09-30,2019-09-30,news story,Spanish 417,,,,2019-09-29,,,UMass,
1142138141199421,2019-09-28,2019-09-30,2019-09-30,5 discussion posts,StockSch 100,,,,2019-10-04,,,UMass,
1142138141199419,2019-09-28,2019-09-30,2019-09-30,"3.10, 3.11, 3.13, 3.15",Spanish 382,,,,2019-10-01,,,UMass,
1142138141199417,2019-09-28,2019-09-30,2019-09-30,read many things,Spanish 417,,,,2019-09-30,,,UMass,
1141979354197853,2019-09-27,2019-09-30,2019-09-30,skim papers on site,CS 585,,,,2019-10-01,,,UMass,
1141979354197851,2019-09-27,2019-10-04,2019-10-04,"Eis. 18.3, 18.4",CS 585,,,,2019-10-01,,,UMass,
1141979354197849,2019-09-27,2019-10-01,2019-10-01,JM 9,CS 585,,,,2019-10-01,,,UMass,
884979507466244,2019-09-24,2019-09-26,2019-09-26,6 and 7 on sheet,Spanish 382,,,,2019-09-26,,,UMass,
1141393508885337,2019-09-24,2019-09-29,2019-09-29,milestone 1,CS 325,,,,2019-10-01,,,UMass,
1141151350910233,2019-09-23,2019-09-26,2019-09-26,3 discussion posts,StockSch 100,,,,2019-09-27,,,UMass,
1141034568823797,2019-09-22,2019-09-23,2019-09-23,ipo email,IPO,,,,2019-09-23,,,UMass,
1141034568823795,2019-09-22,2019-09-23,2019-09-23,amazon assessment,IPO,,,,2019-09-23,,,UMass,
1141015436349601,2019-09-22,2019-09-23,2019-09-23,print extra credit,Spanish 382,,,,2019-09-24,,,UMass,
1140991527960667,2019-09-21,2019-09-22,2019-09-22,news reply,Spanish 417,,,,2019-09-22,,,UMass,
1140991527960665,2019-09-21,2019-09-22,2019-09-22,news story,Spanish 417,,,,2019-09-22,,,UMass,
1140991527960663,2019-09-21,2019-09-28,2019-09-28,lesson 7,StockSch 100,,,,2019-09-26,,,UMass,
1140991527960661,2019-09-21,2019-09-22,2019-09-22,lesson 6,StockSch 100,,,,2019-09-24,,,UMass,
1140991527960659,2019-09-21,2019-10-06,2019-10-06,journal 2,StockSch 100,,,,2019-10-10,,,UMass,
1140991527960657,2019-09-21,2019-09-22,2019-09-22,extra credit,Spanish 382,,,,2019-09-24,,,UMass,
1140704497667729,2019-09-19,2019-09-23,2019-09-23,email to rec center,CS 325,,,,2019-09-23,,"    data from card reader and turnstile
    can we conduct in-person interviews/survey in lobby 
",UMass,
1140597213003981,2019-09-19,2019-09-28,2019-09-28,Párrafos sobre región en Antes de la invasión,Spanish 417,,,,2019-09-28,,,UMass,
1140597213003979,2019-09-19,2019-09-25,2019-09-25,reading 2,Spanish 417,,,,2019-09-25,,,UMass,
1140597213003977,2019-09-19,2019-09-28,2019-09-28,reading 1,Spanish 417,,,,2019-09-23,,,UMass,
1140573925503945,2019-09-18,2019-09-21,2019-09-21,JM 7,CS 585,,,,2019-09-21,,,UMass,
1140411031382675,2019-09-18,2019-09-19,2019-09-19,review and hand in paragraph about indigenous experiences,Spanish 417,,,,2019-09-20,,,UMass,
1140411031382673,2019-09-18,2019-09-19,2019-09-19,schedule meeting with 382 prof,IPO,,,,,,,UMass,
1140376543951677,2019-09-17,2019-09-18,2019-09-18,catch up on readings,CS 325,,,,2019-09-21,,,UMass,
1140376543951675,2019-09-17,2019-09-18,2019-09-18,review and turn in reading questions,Spanish 382,,,,2019-09-18,,,UMass,
1140376543951673,2019-09-17,2019-09-17,2019-09-17,read research paper,Spanish 382,,,,,,,UMass,
1140163320128363,2019-09-16,2019-10-04,2019-10-04,project proposal,CS 585,,,,2019-10-04,,,UMass,
1140163320128361,2019-09-16,2019-09-29,2019-09-29,HW 1,CS 585,,,,2019-09-30,,,UMass,
1139939430252539,2019-09-15,2019-09-16,2019-09-16,news reply,Spanish 417,,,,2019-09-16,,,UMass,
1139939430252537,2019-09-15,2019-09-15,2019-09-15,review and turn in reading questions,Spanish 382,,,,2019-09-16,,,UMass,
1139923285875093,2019-09-14,2019-09-16,2019-09-16,"read up on steep turns, climbs, descents",IPO,,,,,,,UMass,
1139923285875091,2019-09-14,2019-09-18,2019-09-18,3 discussion posts,StockSch 100,,,,2019-09-20,,,UMass,
1139923285875089,2019-09-14,2019-09-14,2019-09-14,lesson 5 notes,StockSch 100,,,,2019-09-14,,,UMass,
1139903724029169,2019-09-14,2019-09-15,2019-09-15,Graham Neubig's notes,CS 585,,,,,,,UMass,
1139853908448371,2019-09-13,2019-09-17,2019-09-17,reading,CS 325,,,,2019-09-17,,,UMass,
1139853908448369,2019-09-13,2019-09-17,2019-09-17,team contract,CS 325,,,,2019-09-17,,,UMass,
1139853908448367,2019-09-13,2019-09-14,2019-09-14,"3.1, 3.9",Spanish 382,,,,2019-09-17,,,UMass,
1139853908448365,2019-09-13,2019-09-15,2019-09-15,ted talk response,Spanish 382,,,,2019-09-17,,,UMass,
1139853908448363,2019-09-13,2019-09-18,2019-09-18,Párrafos Indigenous Experiences Today,Spanish 417,,,,2019-09-21,,,UMass,
1139853908448361,2019-09-13,2019-09-15,2019-09-15,news story,Spanish 417,,,,2019-09-15,,,UMass,
1139735316514961,2019-09-12,2019-09-13,2019-09-13,finalize group,CS 585,,,,,,,UMass,
884979507466240,2019-09-12,2019-09-12,2019-09-12,Check what Sid sent,CS 325,,,,,,,UMass,
1139530699681563,2019-09-11,2019-09-18,2019-09-18,reading 2,Spanish 417,,,,2019-09-18,,,UMass,
1139530699681561,2019-09-11,2019-09-16,2019-09-16,reading 1,Spanish 417,,,,2019-09-16,,,UMass,
1139509020844129,2019-09-11,2019-09-11,2019-09-11,get book,Spanish 382,,,,,,,UMass,
1139462547180365,2019-09-11,2019-09-11,2019-09-11,lesson 4,StockSch 100,,,,2019-09-12,,,UMass,
1139152274356379,2019-09-09,2019-09-11,2019-09-11,"2.8, 2.12, 2.15, 2.16",Spanish 382,,,,2019-09-12,,,UMass,
1139152274356377,2019-09-09,2019-09-09,2019-09-09,reading 4,CS 325,,,,2019-09-10,,,UMass,
1139077239747891,2019-09-09,2019-09-14,2019-09-14,quiz 1,StockSch 100,,,,2019-09-19,,,UMass,
1139077239747889,2019-09-09,2019-09-11,2019-09-11,reading roots and stems,StockSch 100,,,,2019-09-10,,,UMass,
1139034703397621,2019-09-09,2019-09-09,2019-09-09,discussion post 2,StockSch 100,,,,2019-09-12,,,UMass,
1139034703397619,2019-09-09,2019-09-09,2019-09-09,discussion post 1,StockSch 100,,,,2019-09-09,,,UMass,
1139034703397617,2019-09-09,2019-09-16,2019-09-16,journal 1,StockSch 100,,,,2019-09-19,,,UMass,
1138931622320801,2019-09-08,2019-09-09,2019-09-09,turn in reading 3 questions,Spanish 382,,,,2019-09-10,,,UMass,
1138926216289143,2019-09-08,2019-09-09,2019-09-09,reading 2 video thing?,Spanish 417,,,,2019-09-09,,,UMass,
1138926216289141,2019-09-08,2019-09-08,2019-09-08,reading 1,Spanish 417,,,,2019-09-09,,,UMass,
1138926216289139,2019-09-08,2019-09-10,2019-09-10,discussion post and reply,Spanish 417,,,,2019-09-13,,,UMass,
1138732714546905,2019-09-06,2019-09-06,2019-09-06,two readings,Spanish 417,,,,2019-09-09,,,UMass,
1138711207372793,2019-09-05,2019-09-09,2019-09-09,reading 3,CS 325,,,,2019-09-10,,,UMass,
1138656309626505,2019-09-05,2019-09-10,2019-09-10,find book,Spanish 417,,,,,,,UMass,
1138540092569941,2019-09-04,2019-09-05,2019-09-05,upload books to drive,IPO,,,,2019-09-05,,,UMass,
1138540092569939,2019-09-04,2019-09-09,2019-09-09,lesson 2,StockSch 100,,,,2019-09-05,,,UMass,
1138540092569937,2019-09-04,2019-09-09,2019-09-09,lesson 1,StockSch 100,,,,2019-09-05,,,UMass,
1138530979672629,2019-09-04,2019-09-04,2019-09-04,questions,Spanish 382,,,,2019-09-04,,,UMass,
1138530979672627,2019-09-04,2019-09-04,2019-09-04,reading,Spanish 382,,,,2019-09-04,,,UMass,
1138530979672625,2019-09-04,2019-09-05,2019-09-05,reading 2,CS 325,,,,2019-09-05,,,UMass,
1138530979672623,2019-09-04,2019-09-05,2019-09-05,reading 1,CS 325,,,,2019-09-05,,,UMass,
1138530979672617,2019-09-04,2019-09-04,2019-09-04,arkaive,Spanish 382,,,,2019-09-04,,,UMass,
884979507466236,2019-09-04,2019-09-04,2019-09-04,figure out what to do,StockSch 100,,,,,,,UMass,
884979507466235,2019-09-04,2019-09-04,2019-09-04,Check out Moodle,Spanish 382,,,,2019-09-04,,,UMass,
884979507466234,2019-09-04,2019-09-05,2019-09-05,Check out silabus,Spanish 417,,,,,,,UMass,
884979507466233,2019-09-04,2019-09-06,2019-09-06,Map thing 10AM Saturday,Spanish 417,,,,2019-09-07,,https://documentcloud.adobe.com/link/track?uri=urn%3Aaaid%3Ascds%3AUS%3A93a0e840-3901-4fcc-ab0c-87fed8b3d4b9,UMass,
1138337497184745,2019-09-03,2019-09-18,2019-09-18,start contact with IPO,IPO,,,,2019-09-09,,,UMass,
1138337497184739,2019-09-03,2019-09-15,2019-09-15,JM 3.1-3.5,CS 585,,,,2019-09-10,,,UMass,
1138337497184737,2019-09-03,2019-09-08,2019-09-08,reading 1,CS 585,,,,2019-09-05,,,UMass,
884979507466232,2019-09-03,2019-09-11,2019-09-11,Hw 0,CS 585,,,,2019-09-12,,,UMass,
884979507466231,2019-09-03,2019-09-04,2019-09-04,Gift Giving Experience,CS 325,,,,2019-09-04,,,UMass,
884979507466230,2019-09-03,2019-09-05,2019-09-05,Textbook,Spanish 382,,,,2019-09-05,,,UMass,
1137413422571388,2019-08-27,2019-09-09,2019-09-09,confirm ARR for CS 589 (Math Major),IPO,,,,,,,UMass,
1137413422571386,2019-08-27,2019-09-10,2019-09-10,confirm ARR for CS696M (CS Major),IPO,,,,2019-09-09,,,UMass,
